BOLD Process ID	Sample ID	Country	Province/State	Regions	Exact Site	Latitude	Longitude	Elevation	Lineage assignment based on (Dinca et al. 2011)
EULEP004-14	150308PP67	Greece	Crete	NA	Montes de Ornos	35.15	25.916	NA	Crete
OXB1317-15	Rvcoll_15-M583	France			Wizernes	50.702	2.234	NA	Palaeartic
EZROM500-08	RV-06-M943	Romania	Buzau	Muntenia	Dealul Istrita, Breaza	45.094	26.533	NA	Palaeartic
EZRMN210-08	RVcoll.07-D053	Romania	Tulcea	Dobrogea	4 Km SE of Enisala	44.852	28.872	NA	Palaeartic
GBLAA056-14	BC ZSM Lep 80717	Germany	Baden-Wuerttemberg	NA	Grenzach-Wyhlen, Mal.-F.44 Roetelstein	47.5561	7.67944	435	Palaeartic
GBLAF777-14	BC ZSM Lep 82863	Germany	Brandenburg	Teltow-Flaeming	Ludwigsfelde	52.3011	13.2614	44	Palaeartic
GBLAB123-13	BC ZSM Lep 75749	Germany	Saarland	NA	Gersheim, Rubenheim, Hanickel	49.1891	7.2048	340	Palaeartic
OXB822-15	14-U785	France	NA	NA	NA	48.28	0.02	NA	Palaeartic
OXB820-15	14-U783	France	NA	NA	NA	47.75	1.98	NA	Palaeartic
OXB1200-15	Rvcoll_15-M616	France			Aire des Bonnettes	50.284	2.958	50	Palaeartic
GWORO805-09	BC ZSM Lep 30497	Germany	Bavaria	NA	Koenigsdorf TOEL	NA	NA	NA	Palaeartic
NLLEA1447-14	RMNH.INS.507458	Netherlands	South Holland	NA	Merenwijk	52.17	4.5	NA	Palaeartic
ODOPE242-11	BC ZSM Lep 53113	Germany	Bavaria	Schwaben	Augsburg, Siebenbrunn	48.3222	10.9291	500	Palaeartic
NLLEA1480-14	RMNH.INS.549632	Netherlands	North Holland	NA	Amsterdamse Waterleidingduinen	52.33	4.55	NA	Palaeartic
ODOPE364-11	BC ZSM Lep 50765	Germany	Bavaria	Niederbayern	Kelheimwinzer, Lehnberg	48.9175	11.9164	365	Palaeartic
OXB746-15	13-U411	Italy	NA	NA	NA	46.589	12.853	1260	Palaeartic
EZRMN207-08	RVcoll.08-M374	Romania	Bacau	Moldavia	Buciumeni forest (Radacinesti)	46.181	27.251	NA	Palaeartic
EZRMN206-08	RVcoll.08-M230	Romania	Dambovita	Muntenia	2 Km E of Moreni	44.971	25.687	NA	Palaeartic
EZROM503-08	RV-07-D439	Romania	Cluj	Transylvania	Suatu	46.799	23.959	NA	Palaeartic
EZROM593-08	RV-07-C366	Romania	Suceava	Moldavia	Sadova, pas Pascanu	47.633	25.367	NA	Palaeartic
GWOSU026-11	BC ZSM Lep 53277	Germany	Bavaria	Unterfranken	Zellingen, Markt Retzbach	49.9032	9.82323	290	Palaeartic
GWOSZ099-11	BC ZSM Lep 41855	Italy	Trentino-Alto Adige/Sudtirol	Trento	Cavalese-Daiano, 30 km NE Trento	46.3013	11.4457	1230	Palaeartic
EZROM502-08	RV-07-D104	Romania	Buzau	Muntenia	Ciolanu	45.217	26.555	NA	Palaeartic
LEFIE954-10	MM10352	Finland	NA	Karelia borealis	Liperi	62.542	29.526	NA	Palaeartic
LEFIJ522-10	MM17147	Finland	NA	Ostrobottnia borealis pars australis	Liminka	64.797	25.317	NA	Palaeartic
LON963-12	NHMO Lep2011.023	Norway	NA	Horten	Bastoykalven, Bastoy	NA	NA	NA	Palaeartic
OXB522-15	OXB-TGS-794	United Kingdom	Wales	NA	NA	51.482	-3.621	17	Palaeartic
GBLAC266-13	BC ZSM Lep 78647	Germany	Saxony	Koenigsbrueck	Schwepnitz	51.3386	13.9458	144	Palaeartic
OXB489-15	OXB-TGS-542	United Kingdom	Wales	NA	NA	51.68	-4.27	7	Palaeartic
OXB517-15	OXB-TGS-770	United Kingdom	Wales	NA	NA	51.536	-3.757	6	Palaeartic
OXB459-15	OXB-TGS-344	United Kingdom	England	NA	NA	50.374	-5.131	24	Palaeartic
OXB497-15	OXB-TGS-651	United Kingdom	England	NA	NA	51.261	-2.143	227	Palaeartic
OXB503-15	OXB-TGS-674	United Kingdom	England	NA	NA	50.667	-2.097	13	Palaeartic
OXB504-15	OXB-TGS-675	United Kingdom	England	NA	NA	50.667	-2.097	13	Palaeartic
OXB1363-15	Rvcoll_15-M718	France			Vermenton	47.653	3.758	180	Palaeartic
OXB1413-15	Rvcoll_15-M788	France			L`Huis Chatelain	47.32	4.04	570	Palaeartic
OXB510-15	OXB-TGS-731	United Kingdom	England	NA	NA	50.598	-1.971	90	Palaeartic
OXB511-15	OXB-TGS-732	United Kingdom	England	NA	NA	50.598	-1.971	90	Palaeartic
OXB516-15	OXB-TGS-769	United Kingdom	Wales	NA	NA	51.536	-3.757	6	Palaeartic
OXB521-15	OXB-TGS-793	United Kingdom	Wales	NA	NA	51.482	-3.621	17	Palaeartic
OXB1253-15	Rvcoll_15-M107	France			Bonneville-Saint Etienne	46.092	6.403	640	Palaeartic
OXB568-15	OXB-TGS-943	United Kingdom	England	NA	NA	50.57	-3.9	387	Palaeartic
OXB569-15	OXB-TGS-944	United Kingdom	England	NA	NA	50.51	-4.11	131	Palaeartic
OXB570-15	OXB-TGS-945	United Kingdom	England	NA	NA	50.21	-3.709	69	Palaeartic
OXB268-15	OXB-TGS-951	United Kingdom	NA	NA	NA	50.81	-1.101	NA	Palaeartic
OXB496-15	OXB-TGS-650	United Kingdom	England	NA	NA	51.261	-2.143	227	Palaeartic
OXB477-15	OXB-TGS-456	United Kingdom	England	NA	NA	51.281	-0.71	86	Palaeartic
OXB478-15	OXB-TGS-457	United Kingdom	England	NA	NA	51.281	-0.71	86	Palaeartic
OXB480-15	OXB-TGS-468	United Kingdom	England	Surrey	Mytchett	51.281	-0.71	86	Palaeartic
OXB1392-15	Rvcoll_15-M757	France			Creancey Les Roches de Beaume	47.261	4.57	520	Palaeartic
OXB1367-15	Rvcoll_15-M727	France			Vermenton	47.653	3.758	180	Palaeartic
EZBNA882-07	EZIcarus01	Canada	Quebec	MRC de Mirabel	3.5 km South of St-Canut	45.689	-74.089	NA	Palaeartic
PHLAH454-12	TLMF Lep 08273	Austria	Vorarlberg	NA	Zuers, Flexenpass	47.152	10.166	1750	Palaeartic
EZBNA885-07	EZIcarus04	Canada	Quebec	MRC de Mirabel	3.5 km South of St-Canut	45.689	-74.089	NA	Palaeartic
NLLEA1503-14	RMNH.INS.549655	Netherlands	North Holland	NA	NA	52.527	4.959	NA	Palaeartic
EZBNA887-07	EZIcarus06	Canada	Quebec	MRC de Mirabel	3.5 km South of St-Canut	45.689	-74.089	NA	Palaeartic
NLLEA1500-14	RMNH.INS.549652	Netherlands	Gelderland	NA	NA	52.077	5.565	NA	Palaeartic
EZBNA884-07	EZIcarus03	Canada	Quebec	MRC de Mirabel	3.5 km South of St-Canut	45.689	-74.089	NA	Palaeartic
EZBNA886-07	EZIcarus05	Canada	Quebec	MRC de Mirabel	3.5 km South of St-Canut	45.689	-74.089	NA	Palaeartic
OXB1216-15	Rvcoll_15-M642	France			La ferte` loupiere-Chevillon	47.885	3.228	150	Palaeartic
OXB1274-15	Rvcoll_15-M134	France			Les Granges du Poizat	46.116	5.628	950	Palaeartic
OXB1160-15	Rvcoll_16-A047	Italy	NA	NA	Massarosa	43.866	10.333	3	Palaeartic
GBGL0826-06	AY556949	Spain	NA	Ubierna (900 M),Burgos	NA	NA	NA	NA	Iberia-Italy
GWORU349-10	BC ZSM Lep 31940	Italy	Calabria	Cosenza	M. Pollino, Colle del Dragone	39.9017	16.1156	1550	Iberia-Italy
EULEP235-14	RVcoll.12-L152	Spain	Castilla y Leon	Segovia	Santibanez de Ayllon	41.33	-3.27	NA	Iberia-Italy
OXB1122-15	15-A655	Italy	Lombardy	NA	NA	45.328	9.509	NA	Iberia-Italy
EZSPM325-09	RVcoll.08-J899	Spain	Castilla y Leon	Leon	Vega de Espinareda	42.728	-6.648	NA	Iberia-Italy
EZSPC759-10	RVcoll.08-L276	Spain	Comunidad Valenciana	Castellon	Mas de Cap del Pla a Mas del Pont, Vistabella del	40.321	-0.332	NA	Iberia-Italy
EZSPC662-09	RVcoll.08-H232	Spain	Catalonia	Barcelona	UAB, Bellaterra	41.484	2.172	NA	Iberia-Italy
EULEP237-14	RVcoll.12-L155	Spain	NA	La Rioja	Cabezon de Cameros	42.19	-2.51	NA	Iberia-Italy
EULEP120-14	RVcoll.09-X521	Spain	Aragon	Teruel	2 km NW El Vallecillo	40.248	-1.582	NA	Iberia-Italy
EZSPM345-09	RVcoll.08-R025	Spain	Comunidad Valenciana	Valencia	Sant Vicent, Lliria	39.65	-0.577	NA	Iberia-Italy
EULEP268-14	RVcoll.LD-292	Italy	NA	Calabria	Aspromonte, Santuario Polsi	38.192	15.993	NA	Iberia-Italy
EULEP051-14	RVcoll.08-J150	Portugal	NA	Boticas	Ponte Pedrinha, Beca	41.7	-7.65	NA	Iberia-Italy
GWORR414-10	BC ZSM Lep 29630	Italy	Basilicata	NA	Moor bei Rivello	40.0831	15.7277	585	Iberia-Italy
EZSPN578-09	RVcoll.08-J127	Portugal	NA	Tras-os-Montes	Seculca, Beca, Boticas	41.682	-7.698	NA	Iberia-Italy
EULEP071-14	RVcoll.08-L092	Spain	Aragon	Teruel	Ruta de la Sima, El Vallecillo	40.257	-1.603	NA	Iberia-Italy
EULEP034-14	RVcoll.07-E051	Italy	NA	Calabria	P.N. La Sila, Calabria	39.336	16.358	NA	Iberia-Italy
EZSPN426-09	RVcoll.08-H592	Spain	Castilla-La Mancha	Guadalajara	Gualda, La Alcarria	40.671	-2.673	NA	Iberia-Italy
EZSPN384-09	RVcoll.08-H434	Spain	Comunidad de Madrid	NA	Campo Real	40.373	-3.366	NA	Iberia-Italy
EZSPN142-09	RVcoll.06-G507	Spain	Aragon	Huesca	Sierra de Alcubierre	41.637	-0.346	NA	Iberia-Italy
EZSPM753-12	Rvcoll. 12-L153	Spain	La Rioja	NA	Valdevigas-Enciso	42.171	-2.288	NA	Iberia-Italy
EZSPM752-12	Rvcoll. 12-L143	Spain	Castilla y Leon	Segovia	Rio Piron, Sierra de Guadarrama	40.98	-3.94	NA	Iberia-Italy
EULEP234-14	RVcoll.12-L149	Spain	Castilla y Leon	Segovia	Torre Val de San Pedro, Rio Cega	41.07	-3.86	NA	Iberia-Italy
EULEP095-14	RVcoll.09-T560	Italy	NA	Capri	Capri island	40.55	14.22	NA	Iberia-Italy
EULEP048-14	RVcoll.08-H255	Spain	Aragon	Huesca	Mequinenza	41.313	0.13	NA	Iberia-Italy
EULEP035-14	RVcoll.07-F062	Spain	Comunidad Valenciana	Castellon	10 km S. of Morella	40.539	-0.146	NA	Iberia-Italy
EULEP033-14	RVcoll.07-D899	Italy	NA	Calabria	Serra del Prete, Mont Pollino	39.942	16.147	NA	Iberia-Italy
EZSPC284-09	RVcoll.07-C463	Spain	Catalonia	Barcelona	UAB campus, BMS transect, Bellaterra	41.506	2.098	NA	Iberia-Italy
EULEP052-14	RVcoll.08-J199	Portugal	NA	Montalegre	Serra do Larouco, Padornelos	41.89	-7.73	NA	Iberia-Italy
EULEP032-14	RVcoll.07-D864	Italy	NA	Frosinone	Filettino, Monti Simbruini	41.823	13.276	NA	Iberia-Italy
EZSPC669-09	RVcoll.08-M674	Spain	Catalonia	Tarragona	Serra Major, Morera de Montsant, Priorat	41.28	0.866	NA	Iberia-Italy
EULEP236-14	RVcoll.12-L154	Spain	NA	La Rioja	Munilla	42.18	-2.29	NA	Iberia-Italy
OXB1077-15	15-A610	Italy	Lazio	NA	NA	41.795	12.22	NA	Iberia-Italy
OXB954-15	15-A904	Italy	Marches	NA	NA	43.768	12.981	NA	Iberia-Italy
OXB588-15	14-N977	Italy	NA	NA	NA	44.105	12.16	NA	Iberia-Italy
OXB904-15	15-A548	Italy	NA	Romagna	La Lama	43.831	11.836	NA	Iberia-Italy
OXB890-15	15-A532	Italy	Liguria	NA	Val Gavreglia	44.172	9.776	150	Iberia-Italy
OXB877-15	15-A519	Italy	Umbria	NA	NA	43.508	12.318	600	Iberia-Italy
EULEP097-14	RVcoll.09-T572	Italy	NA	Elba	Monte Perone Elba island	42.752	10.205	NA	Iberia-Italy
