,,,,Assembly Statisitcs of Stacks Per Individual (ustacks),,,After Genotype Calling with gstacks,,
Sample,No. Reads,In Catalog (for Genotyping),POP,Average Coverage,Standard Deviation,No. of Reads Used,Number of loci,Mean Coverage,Mean Coverage ns
BER_f_030,3129338,y,BER,50.31,175.75, 1395803(44.6%),24627,42.051,44.503
BER_f_035,3317737,y,BER,57.68,194.96, 1379735(41.6%),21151,48.312,50.304
BER_f_037,3695537,y,BER,43.18,158.72, 1435221(38.8%),29341,36.831,40.332
BER_f_043,3071772,n,BER,60.87,200.79, 1295991(42.2%),17678,49.916,51.554
BER_m_027,3195023,y,BER,55.42,188.97, 1307905(40.9%),20773,46.051,47.515
BER_m_028,6952171,n,BER,39.15,145.69, 1656005(23.8%),33489,33.522,41.098
BER_m_029,8470130,n,BER,37.75,137.99, 1769026(20.9%),36308,33.474,42.832
BER_m_036,3855171,y,BER,49.6,178.65, 1456264(37.8%),26033,42.161,45.792
BER_m_038,2859523,n,BER,54.79,182.72, 1306837(45.7%),19750,43.943,46.143
BER_m_039,2149488,n,BER,71.11,200.67, 1027671(47.8%),11953,57.681,56.748
BER_m_040,3457223,y,BER,52.38,183.1, 1387460(40.1%),23376,44.709,46.912
BER_m_041,1436794,n,BER,81.07,184.1, 772559(53.8%),7707,65.158,60.133
BER_m_042,3264460,y,BER,51.94,178.12, 1265899(38.8%),21525,44.77,47.185
BER_m_044,3122980,y,BER,66.41,205.14, 1273322(40.8%),16851,57.172,58.156
BER_m_045,3168433,y,BER,49.44,171.94, 1325130(41.8%),23814,41.693,44.241
BER_m_046,3620747,y,BER,47.17,173.38, 1374133(38.0%),25833,40.379,43.528
BMD_f_149,3713282,y,BMD,37.51,124.13, 1742297(46.9%),40893,33.277,41.468
BMD_f_154,3984391,y,BMD,39.01,129.17, 1874337(47.0%),42094,34.039,43.65
BMD_f_270,2961330,n,BMD,34.51,104.28, 1473334(49.8%),32978,31.052,36.803
BMD_f_272,3200952,y,BMD,32.74,104.73, 1597267(49.9%),42941,28.83,36.608
BMD_f_274,2556011,n,BMD,29.1,87.06, 1181892(46.2%),31231,25.75,29.142
BMD_f_276,2740520,n,BMD,29.3,83.73, 1362646(49.7%),35422,26.403,30.874
BMD_f_278,1893829,n,BMD,35.29,103.17, 857798(45.3%),19209,30.317,31.832
BMD_f_279,3436779,y,BMD,33.29,107.73, 1680352(48.9%),44499,29.216,37.093
BMD_m_147,3537215,y,BMD,38.25,126.23, 1771228(50.1%),40574,33.749,41.778
BMD_m_148,3441037,y,BMD,37.82,121.45, 1695779(49.3%),39340,33.14,41.586
BMD_m_150,3947571,y,BMD,34.31,114.36, 1986204(50.3%),50615,30.602,40.901
BMD_m_151,3500869,y,BMD,36.55,116.57, 1792859(51.2%),43281,32.308,41.039
BMD_m_152,3707329,y,BMD,37.31,121.18, 1733345(46.8%),40880,32.574,40.904
BMD_m_153,3620544,y,BMD,37.27,115.17, 1669465(46.1%),39425,32.86,40.777
BMD_m_271,1723401,n,BMD,40.73,96.16, 847625(49.2%),15968,34.594,36.491
BMD_m_275,1390969,n,BMD,32.82,88.13, 689129(49.5%),16809,27.661,28.114
BWD_f_3,4621287,y,BWD,37.19,115.73, 2277809(49.3%),53565,33.127,45.687
BWD_f_5,4042362,y,BWD,38.4,123.28, 1979966(49.0%),45536,34.295,43.054
BWD_m_1,4163695,y,BWD,35.64,106.9, 2041968(49.0%),50419,32.173,43.19
BWD_m_2,4653162,y,BWD,36.64,106.19, 2354239(50.6%),56294,33.121,46.584
BWD_m_4,4663845,y,BWD,37.78,110.85, 2271000(48.7%),52836,34.523,44.599
BWD_m_6,4508000,y,BWD,37.58,117.53, 2150872(47.7%),50349,33.723,44.649
BWD_m_7,4181443,y,BWD,36.49,113.84, 2160048(51.7%),52410,32.961,42.064
CFW_m_223,2672555,y,CFW,34.91,107.73, 1379267(51.6%),36097,31.427,35.766
CFW_m_224,931489,n,CFW,33.02,80.62, 473217(50.8%),11525,26.908,26.353
CFW_m_225,184682,n/a,CFW,n/a,n/a,n/a,n/a,n/a,n/a
CFW_m_226,2763326,y,CFW,36.66,114.4, 1369747(49.6%),34219,33.207,37.228
CFW_m_227,585059,n,CFW,26.38,57.71, 271176(46.4%),8284,21.356,19.866
CFW_m_228,2217151,y,CFW,33.67,106.71, 1064328(48.0%),28865,30.05,31.922
CFW_m_229,2446267,y,CFW,32.52,90.83, 1237435(50.6%),34977,29.627,32.743
