Sample,Total Reads,POP, Reads Classified by Centrifuge, Microbial Reads (of total classified),Bacterial  Reads  (of total classified), Raw reads classified as Wolbachia (77038) ,% Classified Wolbachia (of total classified)
BER_f_030,3129338,BER,5.11,5.11,5.1,65952,43.19
BER_f_035,3317737,BER,5.73,5.73,5.73,90265,49.14
BER_f_037,3695537,BER,4.61,4.61,4.59,42473,26.19
BER_f_043,3071772,BER,5.19,5.19,5.18,67511,42.62
BER_m_027,3195023,BER,3.78,3.78,3.77,14137,12.8
BER_m_028,6952171,BER,3.13,3.13,3.12,22,0.01063
BER_m_029,8470130,BER,2.67,2.67,2.66,12,0.005587
BER_m_036,3855171,BER,3.43,3.43,3.4,14432,11.64
BER_m_038,2859523,BER,3.4,3.4,3.38,68,0.07336
BER_m_039,2149488,BER,5.26,5.26,5.25,15508,14.49
BER_m_040,3457223,BER,3.32,3.32,3.31,13323,12.39
BER_m_041,1436794,BER,5.01,5.01,4.99,89,0.127
BER_m_042,3264460,BER,3.56,3.56,3.55,21099,20.05
BER_m_044,3122980,BER,3.96,3.96,3.95,23886,20.46
BER_m_045,3168433,BER,3.61,3.61,3.6,13683,12.75
BER_m_046,3620747,BER,2.84,2.84,2.83,16,0.01594
BMD_f_149,3713282,BMD,3.43,3.43,3.42,23,0.0187
BMD_f_154,3984391,BMD,3.27,3.27,3.26,79,0.06386
BMD_f_270,2961330,BMD,5.52,5.52,5.49,37,0.02337
BMD_f_272,3200952,BMD,5.51,5.51,5.48,73,0.04359
BMD_f_274,2556011,BMD,7.99,7.99,7.92,117,0.06152
BMD_f_276,2740520,BMD,7.65,7.65,7.59,95,0.04828
BMD_f_278,1893829,BMD,7.78,7.78,7.76,79,0.05599
BMD_f_279,3436779,BMD,5.17,5.17,5.14,40,0.02372
BMD_m_147,3537215,BMD,3.64,3.64,3.63,12,0.009738
BMD_m_148,3441037,BMD,4.06,4.06,4.05,10,0.007412
BMD_m_150,3947571,BMD,4.98,4.98,4.94,5,0.002699
BMD_m_151,3500869,BMD,4.15,4.15,4.13,NA,NA
BMD_m_152,3707329,BMD,4.69,4.69,4.68,9,0.005403
BMD_m_153,3620544,BMD,4.41,4.41,4.39,12,0.0077
BMD_m_271,1723401,BMD,8.17,8.17,8.15,3,0.002249
BMD_m_275,1390969,BMD,8.7,8.7,8.68,8,0.006926
BWD_f_3,4621287,BWD,3.75,3.75,3.71,66,0.04067
BWD_f_5,4042362,BWD,4.75,4.75,4.74,19,0.01085
BWD_m_1,4163695,BWD,3.84,3.84,3.82,10,0.006533
BWD_m_2,4653162,BWD,4.55,4.55,4.52,8,0.00336
BWD_m_4,4663845,BWD,9.33,9.33,9.3,16,0.005516
BWD_m_6,4508000,BWD,3.88,3.88,3.87,10,0.006783
BWD_m_7,4181443,BWD,7.75,7.75,7.71,1,0.0003616
DGC_f_087,3347527,DGC,4,4,3.99,8462,6.533
DGC_f_106,1842158,DGC,4.74,4.74,4.73,4186,4.962
DGC_m_084,2989975,DGC,3.5,3.5,3.5,7974,7.921
DGC_m_085,3159714,DGC,3.79,3.79,3.78,13037,11.72
DGC_m_086,3187641,DGC,3.76,3.76,3.75,9620,8.496
DGC_m_094,2713601,DGC,4.09,4.09,4.08,8962,8.393
DGC_m_095,1943761,DGC,5.29,5.29,5.28,18,0.01837
DGC_m_096,2103517,DGC,4.45,4.45,4.43,67,0.07534
DGC_m_097,2862619,DGC,3.43,3.43,3.42,9677,10.34
DGC_m_098,2721654,DGC,3.69,3.69,3.68,54,0.05719
DGC_m_099,2839000,DGC,3.34,3.34,3.33,33,0.03698
DGC_m_100,7576466,DGC,2.98,2.98,2.98,15730,7.291
DGC_m_101,2847149,DGC,3.4,3.4,3.39,6228,6.573
DGC_m_102,3267814,DGC,4.07,4.07,4.06,8849,6.867
ETB_f_188,3010657,ETB,4.98,4.98,4.94,8,0.00569
ETB_f_203,2180678,ETB,5.88,5.88,5.87,38,0.03087
ETB_m_189,3911583,ETB,3.48,3.48,3.46,NA,NA
ETB_m_190,3447634,ETB,4.85,4.85,4.8,5,0.003167
ETB_m_191,2339047,ETB,5.9,5.9,5.86,25,0.01938
ETB_m_192,1294040,ETB,7.82,7.82,7.79,11,0.01121
ETB_m_193,1289852,ETB,7.41,7.41,7.39,NA,NA
ETB_m_194,1472576,ETB,7.02,7.02,7,3,0.003065
ETB_m_199,2165577,ETB,5.72,5.72,5.7,5,0.004237
ETB_m_200,2661036,ETB,5.07,5.07,5.04,8,0.006121
ETB_m_201,2335170,ETB,6.35,6.35,6.3,17,0.01212
ETB_m_202,3364649,ETB,4.83,4.83,4.8,13,0.008366
ETB_m_204,2017944,ETB,6.55,6.55,6.53,7,0.005495
ETB_m_205,2054444,ETB,6.23,6.23,6.21,1,0.0008167
FRN_f_M02,4128301,FRN,4.92,4.92,4.86,43,0.02265
FRN_f_M04,3691899,FRN,4.88,4.88,4.84,121,0.07131
FRN_m_M03,2576724,FRN,6.69,6.69,6.65,14,0.008534
FRN_m_M05,3167685,FRN,4.72,4.72,4.69,7,0.004875
FRN_m_M06,3345278,FRN,5.45,5.45,5.41,3,0.001735
FRN_m_M07,2992795,FRN,5.82,5.82,5.79,5,0.003025
MDC_f_134,1531260,MDC,4.18,4.18,4.16,123,0.197
MDC_f_135,3193961,MDC,2.51,2.51,2.5,87,0.1118
MDC_f_136,3182956,MDC,2.34,2.34,2.33,160,0.2309
MDC_f_138,3392174,MDC,2.52,2.52,2.52,151,0.1846
MDC_f_139,2894914,MDC,3.08,3.08,3.08,129,0.1566
MDC_f_142,2816815,MDC,2.85,2.85,2.84,100,0.1359
MDC_f_144,3491288,MDC,2.41,2.41,2.4,105,0.1269
MDC_f_146,2823133,MDC,2.81,2.81,2.8,164,0.2156
MDC_m_140,1750868,MDC,4.76,4.76,4.75,4,0.005132
MDC_m_141,3675988,MDC,2.54,2.54,2.53,57,0.06526
MDC_m_143,3264423,MDC,2.91,2.91,2.9,109,0.1208
MDC_m_145,3276452,MDC,2.77,2.77,2.76,71,0.08367
MLG_f_003,3331468,MLG,3.36,3.36,3.35,276,0.2643
MLG_f_005,3269479,MLG,3.63,3.63,3.6,6424,5.968
MLG_f_008,2944072,MLG,3.97,3.97,3.96,5195,4.669
MLG_f_010,3277359,MLG,3.35,3.35,3.34,7051,6.843
MLG_f_011,3511746,MLG,3.15,3.15,3.15,7148,6.727
MLG_m_001,3364196,MLG,3.46,3.46,3.45,104,0.09382
MLG_m_002,2901880,MLG,4.23,4.23,4.22,12810,10.88
MLG_m_004,2581961,MLG,3.06,3.06,3.05,54,0.07236
MLG_m_006,4754478,MLG,4.31,4.31,4.3,8522,4.321
MLG_m_007,3078368,MLG,3.46,3.46,3.45,8289,7.988
MLG_m_009,3157171,MLG,3.35,3.35,3.33,7,0.006773
MLG_m_012,3134956,MLG,3.3,3.3,3.29,5809,5.946
MLG_m_013,3484557,MLG,2.74,2.74,2.73,127,0.1393
MLG_m_014,2858870,MLG,3.66,3.66,3.66,4458,4.467
MLG_m_016,2214552,MLG,3.83,3.83,3.82,3648,4.496
